"Ilan_id","SirketAdi","Sektor","Konum","Aciklama","Pozisyon","Deneyim","Egitim","CalismaSekli","Sifre"
"71","Mata Ahşap ve Otomotiv Sanayi Ticaret A.Ş.","Otomotiv ","İstanbul ","Otomotiv sektöründe, Aston Martin, Bentley, Tesla, Chrysler, Jaguar ve Tesla gibi lüks segment otomotiv üreticilerin, Dünya çapında önde gelen Tier 1 tedarikçisi olarak global hizmet sağlayan firmamızın, Türkiye Üretim Tesislerinde “Satın Alma Uzmanı''
olarak çalışacak, aşağıda belirtilen özelliklere uygun takım arkadaşı arayışımız mevcuttur.
İleri düzeyde İngilizce bilgisine sahip
İyi seviyede Ms Office programlarını kullanabilen ve raporlar hazırlayıp sunabilen,
Üniversitelerin İşletme ya daTercihen Mühendislik bölümlerinden mezun,
Otomotiv sektöründe tecrübeli ,
Etkin iletişim becerisine sahip, sonuç odaklı olan
Erkek adaylar için askerliğini tamamlamış
Analitik düşünebilen, sunum ve raporlama becerileri gelişmiş,
Planlama ve organizasyon yeteneği kuvvetli,
B sınıfı ehliyet sahibi olan,
İstanbul Anadolu yakasında, tercihen Pendik, Tuzla ve Gebze civarında ikamet eden,
İş Tanımı
Satın alma departmanının iç ve dış birimler ile koordinasyonlu çalışmasını sağlamak,
Alternatif tedarikçi araştırması yapmak ve ziyaretlerde bulunmak,
Satın alma süreçlerinde teklif toplama, değerlendirme, sipariş verme, fatura kontrol ve yapılacak ödemelerin takip edilmesi ve raporlanmasından sorumlu olmak,
Planlanan sevkiyatların takibini yapmak,
","Satın Alma Uzmanı","En az 3 yıl tecrübeli"," Lisans ","Tam Zamanlı","1234"
"72","MS Pharma İlaç Sanayi ve Ticaret A.Ş.","İlaç Sanayi","Tekirdağ","MS Pharma İlaç bünyesinde Ergene fabrikamızda görevlendirilmek üzere; “ Ar-Ge Formülasyon Geliştirme Uzmanı” arıyoruz.
· Üniversitelerin Kimya, Kimya Mühendisliği veya Eczacılık bölümünden mezun,
· Tercihen Farmasötik Teknoloji yüksek lisans derecesini tamamlamış,
· İlaç sektöründe AR-GE kapsamındaki formülasyon geliştirme çalışmalarında en az 2 yıl deneyim sahibi,
· İlaç sektöründe Üretim alınında deneyim sahibi, tercihen katı ve sıvı üretim proseslerine hakim,
· İyi derecede İngilizce bilgisine sahip,
· MS Office uygulamalarını çok iyi düzeyde kullanabilen,
· Takım çalışması ve yönetimi konularına hakim,
· Araştırmacı, çözüm ve sonuç odaklı,
· Çorlu, Çerkezköy ve Lüleburgaz da ikamet eden,


İŞ TANIMI


· Formülasyon geliştirme ve iyileştirme konularında gerekli tüm çalışmaların yapılması, takibi , kontrolü ve dökümante edilmesi,
· Lab scale, pilot ekipmanlarının kullanım tecrübesi olan,
· Ürün geliştirme süreçleri ile ilgili bölüm içi ve bölümler arası koordinasyonun sağlanması vb. görevlerden sorumlu 
""Formülasyon Geliştirme Uzmanı"" arayışımız bulunmaktadır.
","Formülasyon Geliştirme Uzmanı","2 - 5 yıl arası"," Lisans ","Tam Zamanlı","1234"
"73","DAMLA SU SERA İNŞ. DAMLAMA SULAMA VE TARIM MALZ.T","Su Ürünleri","Denizli","ZİRAİ İLAÇ ve DAMLAMA-SULAMA SİSTEMLERİ satışında faaliyet gösteren firmamızda;
Ziraat  Mühendisi  aranmaktadır.


Üniversitelerin Ziraat Mühendisliği ya da Tarımsal Yapılar ve Sulama bölümlerinden mezunTarımsal Sulama ,Açık ve Kapalı arazi, meyve sebze yetiştiriciliğinde en az 2-3 yıl tecrübesi olanDamlama Sulama sistemleri - Yağmurlama Sulama sistemleri proje uygulama, kurulum montaj gerektiğinde satış pazarlama tanıtım yapabilecekMs Office, Efarm , Gürcom ,Auto cad,netcad programlarını kullanabilenPlanlama ve Organizasyon Yeteneğine Sahipİletişim ve İnsan ilişkileri kuvvetliTakım Çalışmasına YatkınEsnek çalışma Saatlerine uyum sağlayabilecek Askerlik görevini Yapmış Tercihen 30 Yaşını AşmamışB sınıfı ehliyeti olan ve aktif araç kullanabilenSeyahat Engeli OlmayanDenizli ilinde ikamet eden veya edebilecekErkek Adaylar Tercih Sebebidir

","Ziraat Mühendisi","2 - 3 yıl arası","Önlisans ","Tam Zamanlı","1234"
"74","UĞUR TEKNİK MUSTAFA KENET","Bakım Onarım Teknisyeni","İstanbul ","Ariston Thermo Group ve Viessmann Isı Teknikleri Tic. A.Ş. yetkili servisi olan firmamıza; Meslek liselerinin ilgili bölümlerinden veya dengi okullardan mezun, Askerliğini yapmış, Src belgesi olan, Aktif olarak araç kullanabilen Teknisyen alınacaktır.

","Bakım Onarım Teknisyeni","En az 1 yıl tecrübeli","Lise ","Tam Zamanlı","1234"
"75","SELNİKEL ENERJİ ISI HAVA TEKNİKLERİ A.Ş","Üretim ve Endüstriyel Ürünler","Ankara","1955 yılında Ankara'da kurulan Selnikel; Enerji, Isıtma ve Hava Teknikleri sektörlerinde Türkiye'de halen faaliyetlerine devam eden en eski kazan, endüstriyel fan ve endüstriyel brülör üreticisidir.Selnikel; yenilenen dinamik yapısı ve ASO II. Organize Sanayi Bölgesinde ki 24.000m2’lik kapalı alana sahip yeni üretim tesisi ile, proje, imalat, montaj-işletme gibi üç önemli safhayı bir arada ve başarıyla gerçekleştirebilen Türkiye’nin önde gelen sanayi markalarındandır.Büyümekte olan şirketimizin iş stratejisine katkıda bulunacak dinamik, yüksek motivasyonlu, donanımlı ve etik değerlere bağlı aşağıdaki niteliklere uygun‘Üretim Planlama Mühendisi'ekip arkadaşı arıyoruz. Lisanslerin Endüstri Mühendisliği bölümünden mezun,Seri üretim yapmayan imalat firmalarında en az 3 yıl üretim planlama deneyimi bulunan,MS Office programlarını ileri seviyede bilen, tercihen MS Project programını kullanabilen,35 yaşını aşmamış,Planlama ve organizasyon yeteneğine sahip,Analitik özellikleri kuvvetli olan, disiplinli ve sonuç odaklı çalışabilen,ERP programlarını en az bir tanesini aktif şekilde kullanan,İletişim becerileri yüksek, kontrol ve koordinasyon yeteneği güçlü, yeniliklere ve öğrenmeye açık,Tercihen iyi seviyede İngilizce bilgisine sahip,Erkek adaylar için askerlik ile ilişiği bulunmayan,Ankara'da ikamet eden,İŞ TANIMIMüşterinin ihtiyaçları doğrultusunda firmanın izlediği kalite politikasını dikkate alarak gerekiyorsa üst yönetimin görüşleri doğrultusunda, siparişlerin zamanında ve yüksek verimle üretilmesi için gerekli tüm faaliyetlerin koordinasyonunu sağlamak,Üretim planlama analiz tablolarını hazırlanması ve raporlanmasıİş emirlerinin oluşturulması ve üretim birimlerine iletilmesinin sağlanması,Yapılan işlerin analiz edilerek kapasite kullanımı, verimlilik analizlerinin yapılması,Yapılacak planlamalara göre malzeme ihtiyaç planlamasının (MRP) yapılması,Siparişlerin zamanında, doğru ve yüksek verimle üretilmesinin planlaması,Mamul ve yarı mamul stoklarını optimum seviyede tutacak şekilde üretim planının hazırlanması                    ve takip edilmesi,Satış, Üretim, Satınalma, Ambar ve Kalite Kontrol arasında senkronizasyonu sağlamakFire analizlerini değerlendirerek bölümler arası gerekli koordinasyonları düzenlemek,Üretim metot ve proseslerinin geliştirilmesi konusunda üst yönetime önerilerde bulunmak,Aylık üretim raporlarının hazırlanmasına katılım, programa göre aksamaların saptanarak raporlanması,Sorumlusu olduğu süreçlerin performanslarını istatistiksel teknikleri kullanarak ölçülmesi                                   ve raporlanması,Bölümü ile ilgili prosedür ve süreçlerin uygulanmasını ve kayıtların tutulmasının sağlanması,","Üretim Planlama Mühendisi","En az 3 yıl tecrübeli"," Lisans ","Tam Zamanlı","1234"
"76","TEKNOTEL TELEKOMÜNİKASYON A.Ş","Bilişim","İstanbul ","TEKNOTEL TELEKOM
Teknotel Telekom 30 yılı aşkın süredir telekomünikasyon sektöründe yurt içi ve yurt dışındaki yedekli bağlantıları sayesinde yüksek performanslı ve kesintisiz Internet, Cloud ve Datacenter hizmetleri sağlamaktadır.

GENEL NİTELİKLER

Mühendislik fakültelerinin Bilgisayar mühendisliği, Elektronik Haberleşme Mühendisliği, Elektrik-Elektronik mühendisliği, Matematik Mühendisliği, Endüstri Mühendisliği bölümlerinden, tercihen yeni mezun,Sanallaştırma (vmware esxi, vcenter, nsx, vsan) konusunda uzman, tercihen VCP sertifikasına sahip,Windows server family (2012,2016,2019), yönetebilien, tercihen MCITP:SA ve/veya MCITP:EA sertifikalarına sahip, İyi derecede İngilizce bilen, akıcı konuşabilen (ilk mülakat Skype üzerinden yapılacaktır),Tercihen İstanbul Anadolu Yakasında ikamet eden, Kadıköy-Tavşantepe metro güzergahına erişimi olan,Erkek adaylar için askerlik yükümlülüğünü tamamlamış,


İŞ TANIMI
Teknotel Telekomünikasyon A.Ş. bünyesinde görev alacak Sistem Mühendisleri aranmaktadır.
Donanım Sanallaştırma, storage sanallaştırma, bulut sistemlerinin işleyişinde görev alacak;

Windows server family (2012,2016,2019) yönetme,Active directory(domain, dns, dhcp), GPO oluşturma,Linux (Redhat, Centos, debian,ubuntu) kurma ve yönetme,Sunucu network ayarlama, update etme,Plesk panel ve ve hosting ile ilgilenme,Ms-exchange (hosted, online, office365) kurma,AD entegrasyonu yapma,Olay günlüğü kayıtlarını raporlama, Event log inceleme,Patch/yama ve güncellemeleri takip etme,Yapılan işlemleri ve olayları dökümante etme,Telefon ile veya yerinde kurulum yapabilme destek verebilme,Aktif araç kullanabilen.
","Sistem Mühendisi","Tecrübeli ve Tecrübesiz"," Lisans ","Tam Zamanlı","1234"
"77","ENGLISH HOME","Tekstil","İstanbul ","Üniversitelerin Endüstri Mühendisliği, İşletme veya ilgili diğer bölümlerinden mezun,Ürün geliştirme, tasarım, tasarımların üretimi, ürün yönetimi konularında en az 7 yıl deneyimli,Modayı takip eden, sektör bilgisi, estetik bakış açısına sahip ve tercihen tekstil bilgisi olan,Üretim ve malzeme teknolojileri hakkında bilgi sahibi,Araştırma-geliştirme ve analiz yeteneği güçlü,Detaylı veri analizleri yapabilecek, planlama ve raporlama becerisi yüksek,İleri seviyede İngilizce bilen ve aktif olarak kullanabilen,Yurt içi ve dışı seyahat engeli olmayan,

İŞ TANIMI


Ürün çeşitlerini oluşturup, desen ve model geliştirme çalışmalarını gerçekleştirmek,Yeni ürünlerin tasarımından, seri üretimine kadar devam eden süreci takip etmek ve planlanan zamanda stoklarda olmasını sağlamak,Ürünlerin satış performansını takip ve analiz etmek, ürünün yaşam eğrisine karar vermek,Yurt içi ve yurt dışı fuarlara katılarak, trendleri takip etmek, tedarikçi araştırmaları yapmak,Pazar ihtiyaçlarını belirleyip ürün gamına eklenip çıkarılacak ürünleri belirlemek,Sorumlu olduğu kategorisi için fiyatlandırma yapmak.

","Ürün Yöneticisi ","En az 7 yıl tecrübeli"," Lisans ","Tam Zamanlı","1234"
"78","Mata Ahşap ve Otomotiv Sanayi Ticaret A.Ş.","Otomotiv ","İstanbul ","Otomotiv sektöründe, Aston Martin, Bentley, Tesla, Chrysler, Jaguar ve Tesla gibi lüks segment otomotiv üreticilerin, Dünya çapında önde gelen Tier 1 tedarikçisi olarak global hizmet sağlayan firmamızın, Türkiye Üretim Tesislerinde “Malzeme Planlama Mühendisi' olarak çalışacak, aşağıda belirtilen özelliklere uygun takım arkadaşı arayışımız mevcuttur.








Türkiye’nin ileri gelen Üniversitelerinin; Endüstri Mühendisliği Bölümünden mezunİLERİ seviyede İngilizce bilgisine sahip,ERP programları hakkında bilgi sahip,Raporlama becerileri gelişmiş ileri derecede MS Office programlarını kullanabilen,Analitik düşünme ve problem çözme becerisi gelişmiş,İnsan ilişkileri kuvvetli, özdisiplinli ve motivasyonu yüksek olanPlanlama ve organizasyon yeteneğine sahip,Erkek adaylar için Askerliğini tamamlamış,İstanbul Anadolu yakasında, tercihen Pendik, Tuzla ve Gebze civarında ikamet eden,
İŞ TANIMI;
Malzeme planlama ile ilgili olan süreç performanslarını izlemek, ölçmek ve sonuçlarını analiz ederek sürekli iyileştirme için gerekli faaliyetleri gerçekleştirmek,
Müşteri ihtiyaçlarını gerektiği zaman ve adetlerde karşılanmasını sağlayacak şekilde, malzeme planlamasını yapmak,
Yapılan planlamaya uygun satın alma taleplerini açmak,
Üretim Planlama, Satın alma, Gümrük ve Lojistik departmanlarıyla koordinasyonu sağlamak,
Stok seviyesi ve piyasa şartlarının, değişen durumuna göre malzeme ihtiyaçının tespiti ve takibini yapmak,
Malzeme planlama ile ilgili kalitesel, çevresel ve diğer risklerin değerlendirilmesi ve Malzeme Planlama Müdürüne ilgili raporlamaları yapmak.
","Malzeme Planlama Mühendisi","Tecrübeli ve Tecrübesiz"," Lisans ","Tam Zamanlı","1234"
"79","ANM ANMAKSAN MAKİNA ENDÜSTRİ İMALAT SANAYİ VE TİCARET LTD.ŞTİ.","Fabrika Müdürü","Çorum","_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
Fabrika yönetim organizasyonuna hakim,Planlama- Kalite ve Üretim bölümlerinin iş süreçlerinde tecrübeli,Fabrikada bulunan tüm üretim bölümlerinin durum raporlarını ve sorun çözme metotları ile yönetecek,Yalın üretim tekniklerini bilen ve uygulama tecrübesi olan,Analitik düşünce yeteneğine sahip, Lisanslerin Mühendislik bölümlerinden (Tercihen; Makine veya Endüstri Mühendisliği) mezun,Benzer yöneticilik pozisyonlarında en az 5 yıl deneyimli,Orta derecede İngilizce okuma ve yazma seviyesine sahip,İletişim yetkinliği ve kişisel motivasyonu yüksek, enerjik, uyumlu, sistematik çalışan,İşini takip eden, sorumluluk sahibi,Askerlik ile ilişkisi olmayan,Firmamıza üst seviyede katkı sağlayacak FABRİKA MÜDÜRÜ aranmaktayız._x000D_
_x000D_
İŞ TANIMI_x000D_
_x000D_
_x000D_
Müşteri istekleri doğrultusunda üretimi ; Kaliteden ödün vermeden, sürekli iyileştirme ve geliştirme prensiplerine bağlı olarak yürütmek, ekibi ve ekipmanı en iyi şekilde organize etmek ve kullanmak.Kısa ve uzun dönem işçilik, kapasite ve mamül ve yarı mamül planlaması yapmak,Üretim bölümünü yönetmek,Bağlı bölümlerin kendi içindeki ve diğer bölümlerle ilişkilerini koordine etmek,Şirket hedefleri ve stratejileri doğrultusunda plan ve politika oluşturmak,Tüm Fabrikanın makine, ekipman, mamül, insan iş gücü kaynaklarını, üretim ve bakım planlamasını yüksek verimlilikte organize edip yönetmek,Kendisine bağlı çalışanlar arasında iyi iletişim kurulmasına dikkat etmek.Üretim’in teknik sorunlarını incelemek, aksiyon almak ve takip etmek.Fabrika Performans Göstergelerini oluşturmak ve yönetime raporlamak,İş Sağlığı ve Güvenliği, Çevre Mevzuatlarını takip etmek ve gerekliliklerini yerine getirmek._x000D_
_x000D_
","Fabrika Müdürü","5 - 15 yıl arası"," Lisans ","Tam Zamanlı","1234"
"80","THE SWATCH GROUP TURKEY SAAT TİC.LTD.ŞTİ.","Mağazacılık (Ticaret)","İstanbul   ","The Swatch Group Türkiye, İstanbul Anadolu yakası Akasya AVM'
de yer alan Swatch Mağazası için Satış Danışmanı
arıyor.
 

Tercihen Lisans derecesine sahipSatış Danışmanı pozisyonunda en az 1 yıl deneyim sahibiDinamik ve iletişim becerileri güçlüİyi derecede MS Office programlarını kullanabilenPrezantablPlanlama ve organizasyon yeteneği yüksek


İŞ TANIMI

Mağaza Müdürü ve yardımcıları tarafından verilen aksiyon planını uygulamakMüşteri memnuniyetini gözeterek verilen hedefler doğrultusunda satış gerçekleştirmekMağazanın karlı ve örnek bir operasyona dönüşmesini sağlamak Müşteri ilişkilerini geliştirmek ve yüksek müşteri sadakatini sağlamakDönemlik satış analiz raporları hazırlamak
","SATIŞ DANIŞMANI","En az 1 yıl tecrübeli","Lise ","Tam Zamanlı","1234"
"81","BMT BAPS BİYO MALZEME SAN. TİC. A.Ş.","Üretim Personeli","Ankara","_x000D_
GENEL NİTELİKLER_x000D_
•Tercihen Meslek Yüksek Okulu ya da Teknik Liselerin Plastik Teknolojileri, Kalıpçılık, Makine vb bölümlerinden mezun,_x000D_
•En az 2-3 yıl plastik enjeksiyon ve kalıp deneyimi olan,_x000D_
•Tercihen tıbbi ve medikal alanlarda iş tecrübesine sahip,_x000D_
•Teknik resim konusunda bilgi ve deneyim sahibi,_x000D_
•CMM,Profil Projeksiyon gibi boyutsal ölçüm kontrol cihazları ie ölçüm konusunda tecrübeli,_x000D_
•Dikkatli, sistemli ve temiz çalışma prensibine sahip,_x000D_
•Ekip çalışmasına yatkın,_x000D_
•Raporlama yapabilen,_x000D_
•Öğrenmeye ve kendini geliştirmeye açık,_x000D_
•Ehliyeti olan ve aktif araç kullanabilen,_x000D_
•Tercihen sigara kullanmayan ve erkek adaylar için tercihen askerlik görevini tamamlamış,_x000D_
•Tercihen Ankara'nın Kahramankazan, Batıkent, Eryaman, Etimesgut bölgelerinde ikamet eden,_x000D_
İŞ TANIMI_x000D_
•Temiz oda (hijyenik ortam) da Üretim ve Üretim Takip Sorumluluğunu üstlenebilecek; enjeksiyon makinelerine ham madde verme, kalıp bağlama ve devreye alma, üretim esnasında hammaddenin ve üretilen parçaların kontrol edilmesi, ürünlerin kalite standartlarına uygun olarak üretilmesini sağlama, boyutsal ölçü kontrollerinin yapılması, montajlama, ve paketlemenin yapılması,_x000D_
•Makine ve kalıpların bakım ve onarımlarını takibi ile sürekli kullanıma hazır halde bulundurulmasının sağlanması ve ortaya çıkabilecek olası arızalara en etkin ve hızlı biçimde müdahale etme,_x000D_
•Çalışan makine ve kalıpların günlük bakım ve temizliğini yapma,_x000D_
•Temizoda temizliğinin yapılması,_x000D_
•Üretilen ürünlerin ve hammaddelerin stok tedariklerini ve kontrollerini yapma,_x000D_
•Şirket prosedürleri ve kalite standartları doğrultusunda gerekli önlemleri almak ve uygulamak, ve ilgili yöneticilere raporlamak,_x000D_
•İş güvenliği ve işçi sağlığı önlemlerinin üretim bölümünde eksiksiz uygulanmasını sağlamak,_x000D_
","Üretim Personeli","2 - 18 yıl arası","Lise ","Tam Zamanlı","1234"
"82","Destan Sigorta Aracılık Hiz.Ltd.Şti","Sigortacılık","Kayseri  ","Tercihen sigorta satışı konularında bilgi sahibi veya yetiştirilmek üzere,
En az lise mezunu, tercihen üniversitelerin ilgili bölümlerinden mezun,
ön lisans  ve amp;lisans derecesine sahip,
MS Office programlarını etkin olarak kullanıyor olmak,
Diksiyonu düzgün, insan ilişkilerinde başarılı, problem çözme becerileri kuvvetli,
Temsil kabiliyetine sahip, kendini geliştirmeye ve öğrenmeye açık,
Müşteri odaklı ve takım çalışmasına yatkın,
Hedef odaklı ve kariyerini satış üzerine kurmayı hedefleyen,
Erkek adaylar için askerlik görevini tamamlamış veya en az 2 yıl tecilli,
Seyahat engeli bulunmayan,
Sürücü ehliyetine sahip olmak ve aktif araç kullanabilmek,
Maaş artı prim sisteminde çalışabilecek ve çok kazanmaya istekli,
Ofis dışı ortamda müşteri ziyaretleriyle satış gerçekleştirebilecek,
Esnek çalışma saatlerine uyum sağlayabilecek,
SEGEM belgesine sahip, sigorta acenteleri
'’Teknik Personel'’
eğitimlerini tamamlamış ve sertifikasını almış,
Bay-Bayan takım arkadaşları arıyoruz.
İŞ TANIMI:
Şirketin vizyon ve misyonuna göre çalışmalarda bulunmak,
Satış hedefleri ile ilgili her türlü pazar araştırması ve yeni müşteri oluşturma sürecine aktif katkı sağlayacak,
Tüm branşlarda teklif çalışarak, poliçe kesebilmek,
Müşteri takibini en üst seviyede tutarak,
Gerekli iş planlaması ve organizasyonu yapmak,
Potansiyel pazarlarda bireysel ve kurumsal müşteri ziyaretlerini gerçekleştirerek pazarlama ve satış yapmak.
","Sigorta Satış Temsilcisi","Tecrübeli ve Tecrübesiz","Lise  ","Tam Zamanlı","1234"
"83","ALTUNKAYA İNŞ.NAK.GIDA TİC A.Ş","Yapı","Gaziantep","Altunkaya Grup bünyesinde değerlendirilmek üzere; ""Dış Ticaret Müdürü"" 
arayışımız bulunmaktadır.


Üniversitelerin lisans programlarından mezun,
Çok iyi derece akıcı seviyede İngilizce bilen (Yazılı-Sözlü),
Satış ve Pazarlama stratejileri konularına hakim,
Raporlama yapabilecek,bilgisayar kullanımında uzman,
Güçlü liderlik vasıflarında,insan ilişkileri güçlü,müzakere becerisine sahip,
Analitik düşünen,sonuç odaklı,ekip çalışmasına uyumlu,
Zaman yönetimi ve organizasyon becerisine sahip,
Yurt dışı seyahat engeli bulunmayan,
Gaziantep'te ikamet eden/edebilecek,
Erkek adaylar için askerlik vazifesini tamamlamış olmak.

İşin tanımı:
-Satışların sistematik gelişimi için pazar araştırması yapmak,
- Pazar payımızın arttırılması için gerekli tüm aksiyonları almak,
- Yurt dışında distrbütörlükler oluşturmak ve satış başarılarını arttırıcı faaliyetlerde bulunmak,sonucun takibini yapmak,
- Yurt Dışı Satış faaliyetlerimizin etkisinin arttırılması için eylem planlarının yapılması ve gerekli aksiyonun alınması,

- Gerektiğinde yurtdışında fuarlara katılmak,
- İlgili pazar için tüm satış hacmini tahmin edip ve ürün yelpazemizde yer alan ürünlerin tanıtımını yapmak,
- Tüm müşterilerimiz ile profesyonel ve etkili ilişkiler geliştirmek ve sürdürmek,
- Gelen taleplere teklifleri vermek, data sheetler hazırlamak ve satışa dönüştürecek aksiyonları almak,
","Dış Ticaret Müdürü","10 - 15 yıl arası"," Lisans ","Tam Zamanlı","1234"
"84","Sheraton Çesme Hotel Resort  ve  SPA","Turizm","İzmir","Ticaret Meslek Lisesi veya Üniversitelerin ilgili bölümünden mezun,
        5 yıldızlı otel tecrübesi olan,
        Gelirler Sorumlusu pozisyonunda en az 3 yıl deneyimli,
        Tercihen İngilizce bilen,
        MS Office uygulamalarını, Opera ve Netsis programlarını etkin kullanabilen,
        Takım çalışmasına inanan,
        Temsil ve ikna yeteneği olan,
        İletişim becerileri yüksek,
        Problem çözme becerisi yüksek,
        Erkek adaylar için askerlik hizmetini tamamlamış
   

İŞ TANIMI
Günlük Misafir girişlerinin yapılan anlaşmalara ve belirlenen fiyat politikalarına uygunluğunun kontrol edilmesi,
Günlük gelirlerin fiyat ve adisyon kontrollerinin yapılarak raporların hazırlanması,
Ay sonu rapor kapanışı için gerekli hesap kontrollerinin yapılarak raporların hazırlanması,
 
Starwood Grubu en lüksten, şehir oteline kadar geniş yelpazede, farklı yaşam tarzlarına yönelik 9 farklı markası; St. Regis, The Luxury Collection, W, Westin, Le Meridien, Sheraton, Four Points by Sheraton, Aloft ve Element'ten oluşmaktadır. 
100'ün üzerinde ülkede 1305'den fazla oteli ve yaklaşık 171 bin çalışanı ile Starwood Hotels  ve  Resorts Worldwidedünyada turizm sektörünün lideridir.
Starwood Grubu'na ait Türkiye'deki otel sayısı son 5 yılda iki katına çıkmıştır. Starwood grubunun bünyesindeki en büyük markası Sheraton Hotels’tir. 
2001 yılından bu yana faaliyet gösteren işletmemiz  Sheraton Çeşme Hotel Resort  ve  SPA bölgenin en iddialı ve itibarlı işletmesi olarak birçok turizmciye kariyer imkânı sunmaktadır.   
 
Starwood Hotels  ve  Resorts Worldwide, Inc., one of the leading hotel and leisure companies in the world with more than 1000 properties in over 100 countries, is a fully integrated owner, operator and franchisor of hotels and resorts with the following internationally renowned brands: St. Regis®, The Luxury Collection®, Sheraton®, Westin®, Four Points® by Sheraton, W®, Le Méridien®, Aloft®and ElementSM
","Gelir Denetçisi","En az 3 yıl tecrübeli","Önlisans ","Tam Zamanlı","1234"
"85","FORM-TEK ","Makine Operatörü","Bursa","Mesleki yüksek okul mezunu veya Meslek Lisesi  Makina, Kalıp, Torna Tesviye bölümlerinden menzun ve\veya Makina/Pres Operatörü  Mesleki Eğitim belgesi olanTecrübeli veya yetiştirilmek için, Kolay öğrenen ve işini geliştirebilme yeteneğine sahipÇalışma saatleri sabah 08:00, akşam 18:00 hafta sonu Cumartesi-Pazar tatil. Bursa Nilüfer ilçelerinde ikamet eden (Servis güzergahı Görükle-İzmir yolu-Küçük sanayi-Üçevler-Çalı)Makine Press Operatörü  alınacaktır.İŞ TANIMISac-form ve press makinalarında ayar, progresif kalıp değiştirme ve bakım aynı zamanda üretim takibinin yapılması.Yukarıdaki konularda tecrübesi olmayanlar  bu alanlarda usta/takım lideri olarak yetiştirilmek üzere alınacaktır.","Makine Operatörü","Tecrübeli ve Tecrübesiz","Lise ","Tam Zamanlı","1234"
"86","Dorak Turizm ve Gayrimenkul Yatırımları Holding AŞ.","Turizm","İstanbul ","_x000D_
Faaliyet gösterdiği turizm sektöründe itibarı ve güvenilirliği ile tanınan Dorak Holding, kurumsal planlarını, stratejilerini ve hedeflerini sürdürülebilirlik temelinde yürütmektedir. Dorak Holding, ulusal ve uluslararası çapta yatırım ve işbirliğiyle Türkiye’nin tarihi, kültürel ve doğal güzelliklerini tüm dünyaya tanıtmak ve Türkiye’nin marka değerini yükseltmeyi kendine misyon edinmiştir._x000D_
_x000D_
Dorak Holding’in bu misyonuna katkı sağlamak isteyen, kurumsal değerlerimize bağlı, aşağıda belirtilmiş niteliklere uygun;_x000D_
Acente Operasyon Müdür Yardımcısı olarak görevlendirmek üzere,_x000D_
_x000D_
_x000D_
_x000D_
Üniversitelerin ilgili bölümlerinden mezun (iktisadi idari bilimler fakültesi, turizm otel işletmeciliği)Turizm sektöründe minimum 4  yıl tecrübe sahibi,Türkiye'deki destinasyonlara hakim, Kültür Turizmi konusunda yurtiçi grup-münferit operasyon faaliyetlerini üstlenebilecek,Analitik düşünme ve problem çözme becerilerine sahip,Mesleki trendleri ve güncel gelişmeleri takip eden,İleri seviyede İngilizce bilen,Ekip yönetme konusunda deneyim sahibi,Erkek adaylar için askerlik hizmetini tamamlamış,İstanbul, Fatih, Cağaloğlu semtine ulaşım problemi olmayan,_x000D_
_x000D_
_x000D_
_x000D_
İş tanımı:_x000D_
_x000D_
_x000D_
Yurt dışından münferit ve grup olarak gelen misafirlerin tur seyahat operasyonlarının sorunsuz olarak yürütülmesinden sorumlu olarak:_x000D_
_x000D_
_x000D_
Yurt dışı ofisleri ile kurumsal yazışmaları İngilizce olarak gerçekleştirerek, tur programlarının planlanmasını ve fiyatlandırmasını yapmak,Sorumlu olduğu pazarlara yönelik operasyonel işlemleri gerçekleştirmek ve takibini yapmak,Türkiye’ye gelen turların ilk adımından başlayarak, fatura kesimine kadar olan süreçteki iş takibini yapmak,Operasyon ve ekip yönetimini gerçekleştirmek._x000D_
_x000D_
","Operasyon Müdür Yardımcısı","En az 4 yıl tecrübeli","Önlisans ","Tam Zamanlı","1234"
"87","Coca-Cola İçecek ATAKAN GIDA","Gıda","İstanbul ","Coca-Cola İçecek İstanbul  bölgesi bayisi ATAKAN GIDA, Coca-Cola ürünlerinin satışsürecinde görev alacak “Satış Temsilcisi” aramaktadır… ·          Lisans mezunu·         MS Excel ve MS Powerpoint uygulamalarına hakim·         Sürücü belgesine sahip (aktif kullanabilen)·         Analitik bakış açısına sahip, ilişki yönetimi güçlü, ekip çalışmasına yatkın,           planlama ve organize etme yeteneği yüksek·         Askerlik hizmetini tamamlamış (erkek adaylar için)·         Farklı lokasyonlarda çalışmaya açık·    Başvuru yapacak adayların tercihen Arnavutköy ,Sultangazi , Kayaşehir , Başakşehir ve çevresinde ikamet etmeleri gerekmektedir.İŞ TANIMIMüşterilerdeki Tanzim-teşhir faaliyetlerini yürütmek Müşterilerde sipariş talebi yaratmak Müşteri ilişkilerini güçlendirmek, problemleri çözmek Yeni müşteriler kazanmak Ekipman kontrolü ve takibini yapmak                                 İlgili pazardaki faaliyetleri takip etmek ","Satış Temsilcisi","1 - 4 yıl arası","Lise ","Tam Zamanlı","1234"
