ilan_id,id,Aciklama_Yetenek_Eslesme_Sayisi,Aciklama_Yetenek_Eslesen_Kelimeler,Aciklama_Dil_Eslesme_Sayisi,Aciklama_Dil_Eslesen_Kelimeler,Konum_Eslesme_Sayisi,Konum_Eslesen_Kelimeler,Egitim_Eslesme_Sayisi,Egitim_Eslesen_Kelimeler,Deneyim_Eslesme
6,14,0,,0,,0,,1,lisans,1
6,15,0,,0,,0,,1,lisans,1
6,16,0,,0,,0,,0,,1
6,8,0,,0,,0,,1,lisans,1
6,11,0,,1,i̇ngilizce,0,,1,lisans,1
6,12,0,,1,i̇ngilizce,0,,1,lisans,1
7,1,0,,1,i̇ngilizce,1,i̇stanbul,1,lisans,1
7,2,0,,1,i̇ngilizce,1,i̇stanbul,1,lisans,1
7,3,0,,1,i̇ngilizce,1,i̇stanbul,0,,0
7,4,0,,1,i̇ngilizce,1,i̇stanbul,1,lisans,1
7,5,0,,1,i̇ngilizce,0,,0,,0
7,6,0,,0,,0,,1,lisans,1
7,7,0,,0,,0,,1,lisans,1
7,12,0,,0,,0,,1,lisans,1
7,13,0,,0,,1,i̇stanbul,0,,1
7,14,0,,0,,1,i̇stanbul,1,lisans,1
7,15,0,,0,,1,i̇stanbul,1,lisans,1
7,16,0,,0,,1,i̇stanbul,0,,1
7,8,0,,0,,0,,1,lisans,1
7,11,0,,1,i̇ngilizce,0,,1,lisans,1
7,12,0,,1,i̇ngilizce,1,i̇stanbul,1,lisans,1
8,1,0,,0,,1,i̇stanbul,1,lisans,1
8,2,0,,0,,1,i̇stanbul,1,lisans,1
8,3,1,iletişim,0,,1,i̇stanbul,0,,1
8,4,3,"bilgisayar, çözme, problem",0,,1,i̇stanbul,1,lisans,1
8,5,0,,0,,0,,0,,1
8,6,1,iletişim,0,,0,,1,lisans,1
8,7,1,bilgisi,0,,0,,1,lisans,1
8,12,0,,0,,0,,1,lisans,1
8,13,0,,0,,1,i̇stanbul,0,,1
8,14,0,,0,,1,i̇stanbul,1,lisans,1
8,15,0,,0,,1,i̇stanbul,1,lisans,1
8,16,0,,0,,1,i̇stanbul,0,,1
8,8,0,,0,,0,,1,lisans,1
8,11,0,,0,,0,,1,lisans,1
8,12,0,,0,,1,i̇stanbul,1,lisans,1
9,1,0,,0,,0,,0,,1
9,2,2,"iş, kalite",0,,0,,0,,1
9,3,3,"office, iletişim, ms",0,,0,,1,lise,1
9,4,0,,0,,0,,0,,1
9,5,0,,0,,0,,0,,1
9,6,1,iletişim,0,,0,,0,,1
9,7,1,bilgisi,0,,0,,0,,1
9,12,0,,0,,0,,0,,1
9,13,0,,0,,0,,0,,1
9,14,0,,0,,0,,0,,1
9,15,0,,0,,0,,0,,1
9,16,0,,0,,0,,0,,1
9,8,0,,0,,0,,0,,1
9,11,0,,0,,0,,0,,1
9,12,0,,0,,0,,0,,1
10,1,0,,0,,0,,0,,1
10,2,1,güvenliği,0,,0,,0,,1
10,3,0,,0,,0,,1,lise,1
10,4,0,,0,,0,,0,,1
10,5,0,,0,,0,,0,,1
10,6,0,,0,,0,,0,,1
10,7,0,,0,,0,,0,,1
10,12,0,,0,,0,,0,,1
10,13,0,,0,,0,,0,,1
10,14,0,,0,,0,,0,,1
10,15,0,,0,,0,,0,,1
10,16,0,,0,,0,,0,,1
10,8,0,,0,,0,,0,,1
10,11,0,,0,,0,,0,,1
10,12,0,,0,,0,,0,,1
11,1,3,"sql, analizi, veri",0,,1,i̇stanbul,1,lisans,0
11,2,2,"iş, kalite",0,,1,i̇stanbul,1,lisans,0
11,3,1,office,0,,1,i̇stanbul,0,,0
11,4,4,"yazılım, veritabanları, bilgisayar, oracle",0,,1,i̇stanbul,1,lisans,0
11,5,4,"pl, sql, c, oracle",0,,0,,1,lisansüstü,0
11,6,1,ilişkileri,0,,0,,1,lisans,0
11,7,2,"bilgisi, analiz",0,,0,,1,lisans,0
11,12,2,"sql, oracle",0,,0,,1,lisans,0
11,13,2,"sql, oracle",0,,1,i̇stanbul,1,lisansüstü,0
11,14,2,"sql, oracle",0,,1,i̇stanbul,1,lisans,0
11,15,2,"sql, oracle",0,,1,i̇stanbul,1,lisans,0
11,16,2,"sql, oracle",0,,1,i̇stanbul,0,,0
11,8,0,,0,,0,,1,lisans,0
11,11,1,sql,0,,0,,1,lisans,0
11,12,2,"sql, oracle",0,,1,i̇stanbul,1,lisans,0
12,1,1,veri,0,,1,i̇stanbul,1,lisans,1
12,2,1,iş,0,,1,i̇stanbul,1,lisans,1
12,3,3,"office, iletişim, ms",0,,1,i̇stanbul,0,,0
12,4,2,"çözme, problem",0,,1,i̇stanbul,1,lisans,1
12,5,0,,0,,0,,0,,0
12,6,2,"iletişim, i̇nsan",0,,0,,1,lisans,1
12,7,1,bilgisi,0,,0,,1,lisans,1
12,12,0,,0,,0,,1,lisans,1
12,13,0,,0,,1,i̇stanbul,0,,1
12,14,1,erp,0,,1,i̇stanbul,1,lisans,1
12,15,0,,0,,1,i̇stanbul,1,lisans,0
12,16,1,erp,0,,1,i̇stanbul,0,,1
12,8,0,,0,,0,,1,lisans,1
12,11,0,,0,,0,,1,lisans,1
12,12,0,,0,,1,i̇stanbul,1,lisans,0
13,1,0,,0,,1,i̇stanbul,0,,1
13,2,0,,0,,1,i̇stanbul,0,,1
13,3,1,office,0,,1,i̇stanbul,0,,1
13,4,0,,0,,1,i̇stanbul,0,,1
13,5,0,,0,,0,,0,,1
13,6,0,,0,,0,,0,,1
13,7,0,,1,ingilizce,0,,0,,1
13,12,0,,1,ingilizce,0,,0,,1
13,13,0,,1,ingilizce,1,i̇stanbul,0,,1
13,14,0,,1,ingilizce,1,i̇stanbul,0,,1
13,15,0,,1,ingilizce,1,i̇stanbul,0,,1
13,16,0,,1,ingilizce,1,i̇stanbul,1,önlisans,1
13,8,0,,1,ingilizce,0,,0,,1
13,11,0,,0,,0,,0,,1
13,12,0,,0,,1,i̇stanbul,0,,1
14,1,0,,0,,0,,1,lisans,0
14,2,1,iş,0,,0,,1,lisans,0
14,3,0,,0,,0,,0,,0
14,4,0,,0,,0,,1,lisans,1
14,5,0,,0,,0,,0,,0
14,6,0,,0,,0,,1,lisans,0
14,7,0,,0,,0,,1,lisans,0
14,12,0,,0,,0,,1,lisans,0
14,13,0,,0,,0,,0,,0
14,14,0,,0,,0,,1,lisans,0
14,15,0,,0,,0,,1,lisans,1
14,16,0,,0,,0,,0,,1
14,8,0,,0,,0,,1,lisans,0
14,11,0,,0,,0,,1,lisans,1
14,12,0,,0,,0,,1,lisans,0
15,1,0,,1,i̇ngilizce,0,,0,,1
15,2,1,iş,1,i̇ngilizce,0,,0,,1
15,3,1,iletişim,1,i̇ngilizce,0,,0,,1
15,4,0,,1,i̇ngilizce,0,,0,,1
15,5,0,,1,i̇ngilizce,0,,0,,1
15,6,3,"iletişim, micros, i̇nsan",0,,0,,0,,1
15,7,0,,0,,0,,0,,1
15,12,0,,0,,0,,0,,1
15,13,0,,0,,0,,0,,1
15,14,0,,0,,0,,0,,1
15,15,0,,0,,0,,0,,1
15,16,0,,0,,0,,1,önlisans,1
15,8,0,,0,,0,,0,,1
15,11,0,,1,i̇ngilizce,0,,0,,1
15,12,0,,1,i̇ngilizce,0,,0,,1
16,1,0,,0,,0,,0,,1
16,2,0,,0,,0,,0,,1
16,3,0,,0,,0,,1,lise,1
16,4,0,,0,,0,,0,,1
16,5,0,,0,,0,,0,,1
16,6,0,,0,,0,,0,,1
16,7,0,,0,,0,,0,,1
16,12,0,,0,,0,,0,,1
16,13,0,,0,,0,,0,,1
16,14,0,,0,,0,,0,,1
16,15,0,,0,,0,,0,,1
16,16,0,,0,,0,,0,,1
16,8,0,,0,,0,,0,,1
16,11,0,,0,,0,,0,,1
16,12,0,,0,,0,,0,,1
17,1,1,sql,1,i̇ngilizce,0,,1,lisans,1
17,2,1,iş,1,i̇ngilizce,0,,1,lisans,1
17,3,1,iletişim,1,i̇ngilizce,0,,0,,0
17,4,3,"yazılım, bilgisayar, oracle",1,i̇ngilizce,0,,1,lisans,1
17,5,2,"sql, oracle",1,i̇ngilizce,0,,0,,0
17,6,2,"iletişim, i̇nsan",0,,0,,1,lisans,1
17,7,1,bilgisi,0,,0,,1,lisans,1
17,12,2,"sql, oracle",0,,0,,1,lisans,1
17,13,2,"sql, oracle",0,,0,,0,,1
17,14,4,"veritabanına, sql, erp, oracle",0,,0,,1,lisans,1
17,15,2,"sql, oracle",0,,0,,1,lisans,0
17,16,4,"veritabanına, sql, erp, oracle",0,,0,,0,,0
17,8,0,,0,,0,,1,lisans,1
17,11,1,sql,1,i̇ngilizce,0,,1,lisans,1
17,12,2,"sql, oracle",1,i̇ngilizce,0,,1,lisans,0
18,1,0,,0,,0,,0,,1
18,2,0,,0,,0,,0,,1
18,3,1,iletişim,0,,0,,1,lise,1
18,4,2,"çözme, problem",0,,0,,0,,1
18,5,0,,0,,0,,0,,0
18,6,2,"iletişim, ilişkileri",0,,0,,0,,1
18,7,0,,0,,0,,0,,1
18,12,0,,0,,0,,0,,1
18,13,0,,0,,0,,0,,1
18,14,0,,0,,0,,0,,1
18,15,0,,0,,0,,0,,0
18,16,0,,0,,0,,0,,0
18,8,0,,0,,0,,0,,1
18,11,0,,0,,0,,0,,1
18,12,0,,0,,0,,0,,0
19,1,0,,1,i̇ngilizce,1,i̇stanbul,1,lisans,1
19,2,0,,1,i̇ngilizce,1,i̇stanbul,1,lisans,1
19,3,0,,1,i̇ngilizce,1,i̇stanbul,0,,1
19,4,1,geliştirme,1,i̇ngilizce,1,i̇stanbul,1,lisans,1
19,5,1,c,1,i̇ngilizce,0,,0,,1
19,6,1,ilişkileri,0,,0,,1,lisans,1
19,7,0,,0,,0,,1,lisans,1
19,12,0,,0,,0,,1,lisans,1
19,13,0,,0,,1,i̇stanbul,0,,1
19,14,0,,0,,1,i̇stanbul,1,lisans,1
19,15,0,,0,,1,i̇stanbul,1,lisans,1
19,16,0,,0,,1,i̇stanbul,0,,1
19,8,0,,0,,0,,1,lisans,1
19,11,0,,1,i̇ngilizce,0,,1,lisans,1
19,12,0,,1,i̇ngilizce,1,i̇stanbul,1,lisans,1
20,1,0,,1,i̇ngilizce,1,i̇stanbul,1,lisans,1
20,2,0,,1,i̇ngilizce,1,i̇stanbul,1,lisans,1
20,3,2,"office, ms",1,i̇ngilizce,1,i̇stanbul,0,,1
20,4,0,,1,i̇ngilizce,1,i̇stanbul,1,lisans,1
20,5,0,,1,i̇ngilizce,0,,0,,1
20,6,0,,0,,0,,1,lisans,1
20,7,0,,0,,0,,1,lisans,1
20,12,0,,0,,0,,1,lisans,1
20,13,0,,0,,1,i̇stanbul,0,,1
20,14,0,,0,,1,i̇stanbul,1,lisans,1
20,15,0,,0,,1,i̇stanbul,1,lisans,1
20,16,0,,0,,1,i̇stanbul,0,,1
20,8,0,,0,,0,,1,lisans,1
20,11,0,,1,i̇ngilizce,0,,1,lisans,1
20,12,0,,1,i̇ngilizce,1,i̇stanbul,1,lisans,1
21,1,0,,0,,1,i̇stanbul,0,,1
21,2,0,,0,,1,i̇stanbul,0,,1
21,3,0,,0,,1,i̇stanbul,0,,1
21,4,2,"geliştirme, bilgisayar",0,,1,i̇stanbul,0,,1
21,5,0,,0,,0,,0,,1
21,6,0,,0,,0,,0,,1
21,7,0,,0,,0,,0,,1
21,12,0,,0,,0,,0,,1
21,13,0,,0,,1,i̇stanbul,0,,1
21,14,0,,0,,1,i̇stanbul,0,,1
21,15,0,,0,,1,i̇stanbul,0,,1
21,16,0,,0,,1,i̇stanbul,1,önlisans,1
21,8,0,,0,,0,,0,,1
21,11,0,,0,,0,,0,,1
21,12,0,,0,,1,i̇stanbul,0,,1
22,1,0,,1,i̇ngilizce,0,,1,lisans,1
22,2,0,,1,i̇ngilizce,0,,1,lisans,1
22,3,0,,1,i̇ngilizce,0,,0,,1
22,4,0,,1,i̇ngilizce,0,,1,lisans,1
22,5,0,,1,i̇ngilizce,0,,0,,1
22,6,0,,0,,1,antalya,1,lisans,1
22,7,0,,0,,0,,1,lisans,1
22,12,0,,0,,0,,1,lisans,1
22,13,0,,0,,0,,0,,1
22,14,0,,0,,0,,1,lisans,1
22,15,0,,0,,0,,1,lisans,1
22,16,0,,0,,0,,0,,1
22,8,0,,0,,0,,1,lisans,1
22,11,0,,1,i̇ngilizce,0,,1,lisans,1
22,12,0,,1,i̇ngilizce,0,,1,lisans,1
23,1,0,,0,,1,i̇stanbul,0,,1
23,2,0,,0,,1,i̇stanbul,0,,1
23,3,0,,0,,1,i̇stanbul,1,lise,1
23,4,0,,0,,1,i̇stanbul,0,,1
23,5,0,,0,,0,,0,,1
23,6,0,,0,,0,,0,,1
23,7,0,,0,,0,,0,,1
23,12,0,,0,,0,,0,,1
23,13,0,,0,,1,i̇stanbul,0,,1
23,14,0,,0,,1,i̇stanbul,0,,1
23,15,0,,0,,1,i̇stanbul,0,,1
23,16,0,,0,,1,i̇stanbul,0,,1
23,8,0,,0,,0,,0,,1
23,11,0,,0,,0,,0,,1
23,12,0,,0,,1,i̇stanbul,0,,1
24,1,0,,0,,0,,1,lisans,0
24,2,0,,0,,0,,1,lisans,0
24,3,1,iletişim,0,,0,,0,,0
24,4,0,,0,,0,,1,lisans,1
24,5,0,,0,,0,,0,,0
24,6,3,"iletişim, ilişkileri, i̇nsan",0,,0,,1,lisans,0
24,7,0,,0,,0,,1,lisans,0
24,12,0,,0,,0,,1,lisans,0
24,13,0,,0,,0,,0,,0
24,14,0,,0,,0,,1,lisans,0
24,15,0,,0,,0,,1,lisans,1
24,16,0,,0,,0,,0,,1
24,8,0,,0,,0,,1,lisans,0
24,11,0,,0,,0,,1,lisans,1
24,12,0,,0,,0,,1,lisans,0
25,1,1,veri,1,i̇ngilizce,1,i̇stanbul,1,lisans,1
25,2,2,"iş, güvenliği",1,i̇ngilizce,1,i̇stanbul,1,lisans,1
25,3,0,,1,i̇ngilizce,1,i̇stanbul,0,,0
25,4,1,geliştirme,1,i̇ngilizce,1,i̇stanbul,1,lisans,1
25,5,0,,1,i̇ngilizce,0,,0,,0
25,6,1,i̇nsan,0,,0,,1,lisans,1
25,7,1,bilgisi,0,,0,,1,lisans,1
25,12,0,,0,,0,,1,lisans,1
25,13,0,,0,,1,i̇stanbul,0,,1
25,14,0,,0,,1,i̇stanbul,1,lisans,1
25,15,0,,0,,1,i̇stanbul,1,lisans,0
25,16,0,,0,,1,i̇stanbul,0,,0
25,8,0,,0,,0,,1,lisans,1
25,11,0,,1,i̇ngilizce,0,,1,lisans,1
25,12,0,,1,i̇ngilizce,1,i̇stanbul,1,lisans,0
26,1,0,,1,i̇ngilizce,0,,1,lisans,1
26,2,0,,1,i̇ngilizce,0,,1,lisans,1
26,3,0,,1,i̇ngilizce,0,,0,,1
26,4,0,,1,i̇ngilizce,0,,1,lisans,1
26,5,0,,2,"almanca, i̇ngilizce",0,,0,,1
26,6,0,,1,almanca,0,,1,lisans,1
26,7,1,bilgisi,1,almanca,0,,1,lisans,1
26,12,0,,1,almanca,0,,1,lisans,1
26,13,0,,1,almanca,0,,0,,1
26,14,0,,1,almanca,0,,1,lisans,1
26,15,0,,1,almanca,0,,1,lisans,1
26,16,0,,1,almanca,0,,0,,1
26,8,0,,0,,0,,1,lisans,1
26,11,0,,1,i̇ngilizce,0,,1,lisans,1
26,12,0,,2,"i̇ngilizce, almanca",0,,1,lisans,1
27,1,0,,0,,0,,1,lisans,1
27,2,0,,0,,0,,1,lisans,1
27,3,2,"office, ms",0,,0,,0,,1
27,4,0,,0,,0,,1,lisans,1
27,5,0,,0,,0,,0,,1
27,6,0,,0,,0,,1,lisans,1
27,7,0,,0,,0,,1,lisans,1
27,12,0,,0,,0,,1,lisans,1
27,13,0,,0,,0,,0,,1
27,14,0,,0,,0,,1,lisans,1
27,15,0,,0,,0,,1,lisans,1
27,16,0,,0,,0,,0,,1
27,8,0,,0,,0,,1,lisans,1
27,11,0,,0,,0,,1,lisans,1
27,12,0,,0,,0,,1,lisans,1
28,1,0,,0,,1,i̇stanbul,0,,1
28,2,0,,0,,1,i̇stanbul,0,,1
28,3,0,,0,,1,i̇stanbul,0,,1
28,4,0,,0,,1,i̇stanbul,0,,1
28,5,0,,0,,0,,0,,1
28,6,0,,0,,0,,0,,1
28,7,0,,0,,0,,0,,1
28,12,0,,0,,0,,0,,1
28,13,0,,0,,1,i̇stanbul,0,,1
28,14,0,,0,,1,i̇stanbul,0,,1
28,15,0,,0,,1,i̇stanbul,0,,1
28,16,0,,0,,1,i̇stanbul,0,,1
28,8,0,,0,,0,,0,,1
28,11,0,,0,,0,,0,,1
28,12,0,,0,,1,i̇stanbul,0,,1
29,1,0,,0,,0,,1,lisans,1
29,2,1,iş,0,,0,,1,lisans,1
29,3,2,"office, ms",0,,0,,0,,0
29,4,0,,0,,0,,1,lisans,1
29,5,0,,0,,0,,0,,0
29,6,0,,0,,0,,1,lisans,1
29,7,1,bilgisi,0,,0,,1,lisans,1
29,12,0,,0,,0,,1,lisans,1
29,13,0,,0,,0,,0,,1
29,14,0,,0,,0,,1,lisans,1
29,15,0,,0,,0,,1,lisans,0
29,16,0,,0,,0,,0,,0
29,8,0,,0,,0,,1,lisans,1
29,11,0,,0,,0,,1,lisans,1
29,12,0,,0,,0,,1,lisans,0
30,1,0,,0,,0,,1,lisans,1
30,2,0,,0,,0,,1,lisans,1
30,3,2,"office, ms",0,,0,,0,,1
30,4,0,,0,,0,,1,lisans,1
30,5,0,,0,,1,aydın,0,,1
30,6,0,,0,,0,,1,lisans,1
30,7,0,,0,,0,,1,lisans,1
30,12,0,,0,,0,,1,lisans,1
30,13,0,,0,,0,,0,,1
30,14,0,,0,,0,,1,lisans,1
30,15,0,,0,,0,,1,lisans,1
30,16,0,,0,,0,,0,,1
30,8,0,,0,,0,,1,lisans,1
30,11,0,,0,,0,,1,lisans,1
30,12,0,,0,,0,,1,lisans,1
31,1,0,,0,,1,i̇stanbul,0,,1
31,2,0,,0,,1,i̇stanbul,0,,1
31,3,0,,0,,1,i̇stanbul,1,lise,1
31,4,0,,0,,1,i̇stanbul,0,,1
31,5,0,,0,,0,,0,,1
31,6,0,,0,,0,,0,,1
31,7,0,,0,,0,,0,,1
31,12,0,,0,,0,,0,,1
31,13,0,,0,,1,i̇stanbul,0,,1
31,14,0,,0,,1,i̇stanbul,0,,1
31,15,0,,0,,1,i̇stanbul,0,,1
31,16,0,,0,,1,i̇stanbul,0,,1
31,8,0,,0,,0,,0,,1
31,11,0,,0,,0,,0,,1
31,12,0,,0,,1,i̇stanbul,0,,1
32,1,0,,0,,1,i̇stanbul,0,,1
32,2,0,,0,,1,i̇stanbul,0,,1
32,3,3,"office, iletişim, ms",0,,1,i̇stanbul,1,lise,1
32,4,0,,0,,1,i̇stanbul,0,,1
32,5,0,,0,,0,,0,,1
32,6,3,"iletişim, ilişkileri, i̇nsan",0,,0,,0,,1
32,7,0,,0,,0,,0,,1
32,12,0,,0,,0,,0,,1
32,13,0,,0,,1,i̇stanbul,0,,1
32,14,0,,0,,1,i̇stanbul,0,,1
32,15,0,,0,,1,i̇stanbul,0,,1
32,16,0,,0,,1,i̇stanbul,0,,1
32,8,0,,0,,0,,0,,1
32,11,0,,0,,0,,0,,1
32,12,0,,0,,1,i̇stanbul,0,,1
33,1,0,,0,,1,i̇stanbul,1,lisans,1
33,2,0,,0,,1,i̇stanbul,1,lisans,1
33,3,0,,0,,1,i̇stanbul,0,,1
33,4,0,,0,,1,i̇stanbul,1,lisans,1
33,5,0,,0,,0,,0,,1
33,6,0,,0,,0,,1,lisans,1
33,7,0,,0,,0,,1,lisans,1
33,12,0,,0,,0,,1,lisans,1
33,13,0,,0,,1,i̇stanbul,0,,1
33,14,0,,0,,1,i̇stanbul,1,lisans,1
33,15,0,,0,,1,i̇stanbul,1,lisans,1
33,16,0,,0,,1,i̇stanbul,0,,1
33,8,0,,0,,0,,1,lisans,1
33,11,0,,0,,0,,1,lisans,1
33,12,0,,0,,1,i̇stanbul,1,lisans,1
34,1,0,,1,i̇ngilizce,0,,1,lisans,0
34,2,1,güvenliği,1,i̇ngilizce,0,,1,lisans,0
34,3,1,iletişim,1,i̇ngilizce,0,,0,,0
34,4,0,,1,i̇ngilizce,0,,1,lisans,1
34,5,0,,1,i̇ngilizce,0,,1,lisansüstü,0
34,6,1,iletişim,0,,0,,1,lisans,0
34,7,1,bilgisi,0,,0,,1,lisans,0
34,12,0,,0,,0,,1,lisans,1
34,13,0,,0,,0,,1,lisansüstü,0
34,14,0,,0,,0,,1,lisans,0
34,15,0,,0,,0,,1,lisans,0
34,16,0,,0,,0,,0,,0
34,8,0,,0,,0,,1,lisans,0
34,11,0,,1,i̇ngilizce,0,,1,lisans,1
34,12,0,,1,i̇ngilizce,0,,1,lisans,0
35,1,0,,0,,0,,1,lisans,0
35,2,1,iş,0,,0,,1,lisans,0
35,3,2,"office, iletişim",0,,0,,0,,0
35,4,0,,0,,0,,1,lisans,0
35,5,0,,0,,0,,1,lisansüstü,0
35,6,1,iletişim,0,,0,,1,lisans,0
35,7,1,analiz,0,,0,,1,lisans,0
35,12,0,,0,,0,,1,lisans,0
35,13,0,,0,,0,,1,lisansüstü,0
35,14,0,,0,,0,,1,lisans,0
35,15,0,,0,,0,,1,lisans,0
35,16,0,,0,,0,,0,,0
35,8,0,,0,,0,,1,lisans,0
35,11,0,,0,,0,,1,lisans,0
35,12,0,,0,,0,,1,lisans,0
36,1,0,,1,i̇ngilizce,1,i̇stanbul,1,lisans,1
36,2,0,,1,i̇ngilizce,1,i̇stanbul,1,lisans,1
36,3,1,iletişim,1,i̇ngilizce,1,i̇stanbul,0,,1
36,4,0,,1,i̇ngilizce,1,i̇stanbul,1,lisans,1
36,5,0,,1,i̇ngilizce,0,,0,,1
36,6,2,"iletişim, i̇nsan",0,,0,,1,lisans,1
36,7,1,analiz,0,,0,,1,lisans,1
36,12,0,,0,,0,,1,lisans,1
36,13,0,,0,,1,i̇stanbul,0,,1
36,14,0,,0,,1,i̇stanbul,1,lisans,1
36,15,0,,0,,1,i̇stanbul,1,lisans,1
36,16,0,,0,,1,i̇stanbul,0,,1
36,8,0,,0,,0,,1,lisans,1
36,11,0,,1,i̇ngilizce,0,,1,lisans,1
36,12,0,,1,i̇ngilizce,1,i̇stanbul,1,lisans,1
37,1,0,,0,,1,i̇stanbul,0,,1
37,2,1,kalite,0,,1,i̇stanbul,0,,1
37,3,2,"office, iletişim",0,,1,i̇stanbul,1,lise,1
37,4,1,geliştirme,0,,1,i̇stanbul,0,,1
37,5,0,,0,,0,,0,,1
37,6,1,iletişim,0,,0,,0,,1
37,7,1,bilgisi,0,,0,,0,,1
